utterance_id,conversation_id,agent,message,topic
1038,47,agent_1,"It's interesting how sometimes Americans joke about moving to Canada due to our politics, yet sometimes Canada's politics make just as much sense as ours",
1039,47,agent_2,"Canada has many politics, but probably not as many as the US. The US has too many politics. What is climate change anyhow?",
1040,47,agent_1,"Climate change is the more updated term for what used to be called ""global warming."" Canada is starting to put policies into place that they believe will help with the said issue, but most aren't sure why, it seems",
1041,47,agent_2,"I guess it's tricky. I would like to see some progress, but people seem reluctant to change. Plus, will it raise taxes?",
1042,47,agent_1,"It raises tax on anything that produces carbon, in most cases. Which includes gas, of course",
1043,47,agent_2,"In 1975 the Soviet Union successfully sent a spacecraft to Venus, and captured the first images from the surface of another planet. Did the colonists survive? Is there a secret base on Venus? Do they have to worry about climate change there? Maybe we should communicate with them about carbon taxes.",
1044,47,agent_1,"I'm not sure, because Venus doesn't experience seasons due to the lack of tilt in the axis. It also rotates clockwise, which might affect some things. I think seasons are what make people paranoid about climate change",
1045,47,agent_2,"Maybe we should outlaw seasons. Canadia has a prime minister, right? Could we talk to the PM?",
1046,47,agent_1,"I think so. It's a strange setup. Seasons aren't something that can be outlawed, but rather something that occurs naturally. I can't imagine what it would be like living on Uranus. It actually rotates sideways and looks like it's spinning compared to other planets",
1047,47,agent_2,"I just found out that the Canadian PM serves at her majesty's pleasure, so the post does not have a fixed term. In a survey, 51% thought the prime minister was directly elected by Canadians. I wonder if the Queen has ever ejected a prime minister from the game of thrones. Can the Queen do something about seasons and climate change? She might be busy though.",
1048,47,agent_1,"It is a strange position, indeed. The Queen is old enough to know whether our current weather is actually a problem that needs to be addressed or rather a natural cycle, right? I wonder if the same applies to the PM of Australia. Technically, the position isn't even in their constitution, but they were owned by England",
1049,47,agent_2,"I dream of moving to Uranus to get away from these sorts of politics here. But the Internet connection is probably slow. Plus climate change would follow me there, I suppose.  Does Australia have climate? Do they have Internet?",
1050,47,agent_1,"Everywhere has a climate of some sort, but some are milder than others. And of course Australia has the internet. If you move to Japan instead, you'll get a silver cup from the PM there if you make to 100",
1051,47,agent_2,"Is there a connection between climate change and Internet? The Chinese government has censored the word 'censorship.' Could they censor ""Climate change"" well and be done with that? Could the Japanese invent a clever device to make climate change less expensive or faster?",
1052,47,agent_1,"None of these governments can actually control the weather. Well, they do try. Like how the Norwegian government donated money to help save the rainforest in the Amazon. But that's less climate change and more man using natural resources",
1053,47,agent_2,"The Norwegians probably bought a bunch of snow and shipped it down to the rainforest to cool things off. Thoughtful, but ultimately futile.",
1054,47,agent_1,"They don't have to buy snow. They could just ship the snow they already get. I wonder if it's actually possible to buy the Eiffel Tower. There was a man who managed to sell it twice by impersonating a government official, but it may not even be a good investment",
1055,47,agent_2,The Eiffel Tower is romantic but does not have enough parking. Did you know that Andrew Bonar Law is the only person from outside the UK to ever become the prime minister of the UK? Why did his parents saddle him with such an awkward middle name?,
1056,47,agent_1,"Maybe it's French? Of course the British wouldn't make it a requirement to be born there, unlike Americans. You can't be President unless you were born on US soil",
1057,47,agent_2,What if you were born on the moon? That would be unfair. What if the moon were right over the US at the moment of your birth?,
1058,47,agent_1,"What if you were born on Jupiter's moon Ganymede? It's not technically a planet, but it's big enough to be if it decides to orbit around the sun instead. Oh, the things we may never know",
1059,48,agent_1,Do you like to read? Im looking for a great book for my son,
1060,48,agent_2,I do like to read.  Ive always been a big fan of the Harry Potter series.  I hear Matt James has some good books too.,
1061,48,agent_1,"I agree, Matt James books are pretty good, I had my child eead the book The Funeral, it was a great book, he enjoyed it",
1062,48,agent_2,That's good.  I always look for something new to read.,
1063,48,agent_1,"Yeah, you should try it out if you have a son or a niece, nephew, its a book ages 5 to 8 so not the best book for an adult",
1064,48,agent_2,"I dont have any kids myself, but I do have tons of friends who have kids in that age range.  Ill suggest it to them.  How much do you know about cars?",
1065,48,agent_1,"I know the first model for mas production was the Ford T Model, it was produced back in the year 1908",
1066,48,agent_2,"It is amazing how far cars have come,  it is even legal to put flamethrowers on your car in south Africa to prevent car jackings.",
1067,48,agent_1,"Wow, that would make burglars think twice about stealing a car, McDonalds created the drive through back in 1975",
1068,48,agent_2,I heard it was because soliders couldnt get out of their cars in fatigues.,
1069,48,agent_1,"Yeah it was a service intended for soldiers first, it sure is a great invention, has saved me a couple of times,",
1070,48,agent_2,Same here.  But Im no professional driver like Jann Mardenborough just because I played Gran Turismo.  No drive thrus in that game,
1071,48,agent_1,"Crazy how he picked up his skills by playing Gran Turismo I heard he beat more than 90,000 people",
1072,48,agent_2,Thats crazy.  Must have been a lot of hours logged in the game.  Did you know there are more possible moves in chess than atoms in the universe.,
1073,48,agent_1,"I guess thats why chess is one of the most challenging games/sport out there, do you like to play chess, know how to play it?",
1074,48,agent_2,"I have played before, but I am certainly no Bobby fisher",
1075,48,agent_1,Who is Bobby Fisher? is he a chess player,
1076,48,agent_2,He was.  There was a movie made about him.,
1077,48,agent_1,"I havent seen that one maybe I will check if its on Netflix, you know the president of the chess federation thinks the game was invented by aliens!!",
1078,48,agent_2,Really?  That is kinda of crazy.  The rules are a bit complicated.,
1079,48,agent_1,"They are and also the fact you told me early about more moves than atoms, it does seem like a game invented by a more advance civilization than ours",
1080,48,agent_2,Awesome.. Great Chat!,
1081,49,agent_1,"Hello there, do you attend many concerts?",
1082,49,agent_2,"I try to when I can, how about you?",
1083,49,agent_1,"Yeah same here, I would like to go a lot more, but just don't have the time or my work schedule conflicts.",
1084,49,agent_2,"If it were 2001, you would have been able to probably get to at least one linkin park concert since they put on 324 of them!",
1085,49,agent_1,"That is such an insane touring schedule for one year, wow.",
1086,49,agent_2,Oh I agree! That's not even close to the Ramones though!,
1087,49,agent_1,"Yeah I think they have played over 2,000 shows!",
1088,49,agent_2,That is basically a non stop tour for 20 years! Have you ever seen a Creed concert?,
1089,49,agent_1,"Yeah that is, crazy.  And no I haven't, have you?",
1090,49,agent_2,"I never plan on it, especially since they were sued for playing a concert so badly in 2002 lol.",
1091,49,agent_1,"That is just funny, people sue others for just about anything.  What happened to live and learn?  Like you don't like it, so don't buy a ticket and go next time.",
1092,49,agent_2,I couldn't have said it any better! Did you know bruce lee used to be a dancer?,
