utterance_id,conversation_id,agent,message
0,0,human,hey how are you
1,0,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,0,human,hey how are you
3,0,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,0,human,hey how are you
5,0,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
6,0,human,hey how are you
7,0,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
8,0,human,hey how are you
9,0,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
10,0,human,hey how are you
11,0,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
12,0,human,hey how are you
13,0,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
0,1,human,Where were you yesterday?
1,1,bot,I don't have this information.
2,1,human,Hello
3,1,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,1,human,Im good how are you?
5,1,bot,😊 Cool! What would you want to talk about?
0,2,human,Hello
1,2,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,2,human,Concreticdtod
3,2,bot,I don't have this information.
4,2,human,How
5,2,bot,I don't know what to answer.
6,2,human,What is a asd
7,2,bot,I don't understand you.
8,2,human,What is a cat
9,2,bot,I don't have this information.
0,3,human,Hi
1,3,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,3,human,Im good. How old are you?
3,3,bot,I don't understand you.
4,3,human,How old are you?
5,3,bot,I don't know what to answer.
6,3,human,what are you?
7,3,bot,I'm DEEPY.
8,3,human,what is Deepy?
9,3,bot,I don't have this information.
0,4,human,what
1,4,bot,I don't understand you.
2,4,human,这是一条狗
3,4,bot,I don't have this information.
4,4,human,i am a dog
5,4,bot,I don't have this information.
6,4,human,who are Obama?
7,4,bot,I don't understand you.
0,5,human,hi
1,5,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,5,human,are you a ai chatbot
3,5,bot,I don't understand you.
4,5,human,what is your name
5,5,bot,"I'm DEEPY, Are you Sam?"
6,5,human,no
7,5,bot,🙁 Right.
8,5,human,why
9,5,bot,I don't understand you.
0,6,human,ciaux
1,6,bot,I don't understand you.
2,6,human,talk me about napoleon
3,6,bot,I don't know what to answer.
4,6,human,i have dreamed your sister
5,6,bot,I don't know what to answer.
0,7,human,привет
